month,mfr_name,maketxt,modeltxt,yeartxt,topic_id,topic_label,component_groups,complaints,unique_states,max_component_watchlist_score,avg_topic_strength,severity_broad_rate,critical_event_near_operation_rate,highway_rate,high_speed_rate,best_signal_tier
2026-01-01,"CHRYSLER (FCA US, LLC)",JEEP,COMPASS,2018,17,Vehicle shutoff / stall while driving issue,ELECTRICAL SYSTEM,5,5,11.14748671489073,0.5504872062958551,0.2,0.0,0.0,0.0,Moderate signal
2026-01-01,"NISSAN NORTH AMERICA, INC.",NISSAN,ROGUE,2023,8,Windshield / glass cracking issue,VISIBILITY / WIPER,6,5,11.04008014194188,0.5394270192211666,0.0,0.0,0.0,0.0,Moderate signal
2026-01-01,"CHRYSLER (FCA US, LLC)",RAM,1500,2017,1,Electric power steering assist loss,STEERING,6,6,10.812407744055424,0.47569376838880967,0.0,0.16666666666666666,0.0,0.0,Moderate signal
2026-01-01,TOYOTA MOTOR CORPORATION,TOYOTA,C-HR,2020,6,Transmission shifting / gear engagement issue,POWER TRAIN,6,6,9.863935902187185,0.5172650773438667,0.0,0.0,0.0,0.0,Moderate signal
2026-01-01,HONDA (AMERICAN HONDA MOTOR CO.),HONDA,ACCORD,2022,16,Coolant leak / cylinder intrusion / overheating issue,ENGINE / COOLING,4,4,9.845829153786053,0.4735115225905552,0.0,0.25,0.0,0.0,Early signal
2026-01-01,"GENERAL MOTORS, LLC",CHEVROLET,SILVERADO 1500,2021,15,Oil consumption / low oil issue,ENGINE / COOLING,5,5,9.844363300398795,0.43452973832202835,0.2,0.0,0.2,0.2,Moderate signal
2026-01-01,HONDA (AMERICAN HONDA MOTOR CO.),HONDA,PROLOGUE,2024,10,Steering wheel binding / difficult turning issue,POWER TRAIN | STEERING | SUSPENSION,11,10,9.812904424834546,0.43749244684070976,0.0,0.0,0.0,0.09090909090909091,Moderate signal
2026-01-01,"GENERAL MOTORS, LLC",CHEVROLET,SILVERADO 1500,2023,15,Oil consumption / low oil issue,ENGINE / COOLING,4,4,9.777764928823075,0.4650533864379105,0.0,0.0,0.25,0.5,Early signal
2026-01-01,HONDA (AMERICAN HONDA MOTOR CO.),ACURA,RDX,2020,8,Windshield / glass cracking issue,VISIBILITY / WIPER,5,3,9.601259548479492,0.5896412455707586,0.0,0.0,0.0,0.0,Moderate signal
2026-01-01,TOYOTA MOTOR CORPORATION,TOYOTA,HIGHLANDER,2017,6,Transmission shifting / gear engagement issue,POWER TRAIN,5,4,9.401604650667657,0.44592831046638065,0.0,0.0,0.2,0.2,Moderate signal
2026-01-01,"CHRYSLER (FCA US, LLC)",RAM,2500,2018,4,Brake pedal / braking performance issue,SERVICE BRAKES,12,8,9.228696155444453,0.5779827495894178,0.08333333333333333,0.0,0.0,0.25,High-confidence signal
2026-01-01,"GENERAL MOTORS, LLC",CHEVROLET,SILVERADO 1500,2022,15,Oil consumption / low oil issue,ENGINE / COOLING,4,4,9.217139028371465,0.4815979516172104,0.0,0.0,0.25,0.25,Early signal
2026-01-01,HONDA (AMERICAN HONDA MOTOR CO.),HONDA,PROLOGUE,2024,17,Vehicle shutoff / stall while driving issue,STEERING | SUSPENSION,10,9,9.169896840903128,0.361594645994168,0.0,0.0,0.0,0.0,Moderate signal
2026-01-01,FORD MOTOR COMPANY,FORD,ESCAPE,2016,18,Headlight / low beam visibility issue,BACK OVER PREVENTION,6,6,9.066700606032475,0.4148406030507257,0.0,0.0,0.0,0.0,Moderate signal
2026-01-01,FORD MOTOR COMPANY,FORD,ESCAPE,2016,19,Tire / suspension / frame rust mixed issue,BACK OVER PREVENTION,6,3,9.006926179362543,0.36983333066640056,0.0,0.0,0.0,0.0,Moderate signal
2026-01-01,HONDA (AMERICAN HONDA MOTOR CO.),HONDA,ACCORD,2025,10,Steering wheel binding / difficult turning issue,STEERING,8,5,8.643110967248534,0.5418388575497938,0.0,0.0,0.375,0.375,Moderate signal
2026-01-01,MAZDA MOTOR CORP.,MAZDA,CX-90 PLUG-IN HYBRID,2024,10,Steering wheel binding / difficult turning issue,STEERING,3,2,8.608034403913368,0.6940428542241165,0.0,0.0,0.6666666666666666,0.6666666666666666,Early signal
2026-01-01,HYUNDAI MOTOR AMERICA,HYUNDAI,IONIQ 5,2023,1,Electric power steering assist loss,ELECTRICAL SYSTEM,3,2,8.59653717953452,0.4659001527188286,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,Early signal
2026-01-01,TOYOTA MOTOR CORPORATION,TOYOTA,HIGHLANDER,2021,6,Transmission shifting / gear engagement issue,ENGINE / COOLING | POWER TRAIN,11,8,8.49060732144502,0.4959065342370675,0.0,0.0,0.0,0.0,Moderate signal
2026-01-01,HONDA (AMERICAN HONDA MOTOR CO.),HONDA,PILOT,2023,13,Seat belt / passenger restraint issue,SEATS,3,2,8.352464961040472,0.7376617010483848,0.0,0.0,0.0,0.0,Early signal
2026-01-01,MAZDA MOTOR CORP.,MAZDA,CX-5,2022,18,Headlight / low beam visibility issue,EXTERIOR LIGHTING,4,3,8.33215688512234,0.5442650382394769,0.0,0.0,0.0,0.0,Early signal
2026-01-01,HONDA (AMERICAN HONDA MOTOR CO.),ACURA,RDX,2019,19,Tire / suspension / frame rust mixed issue,VISIBILITY / WIPER,4,4,8.167535478187435,0.5186937804632246,0.0,0.0,0.0,0.0,Early signal
2026-01-01,"GENERAL MOTORS, LLC",GMC,SIERRA 1500,2023,8,Windshield / glass cracking issue,STRUCTURE,3,3,8.06555897390446,0.6865607325493137,0.0,0.0,0.3333333333333333,0.3333333333333333,Early signal
2026-01-01,"GENERAL MOTORS, LLC",GMC,ACADIA,2024,4,Brake pedal / braking performance issue,SERVICE BRAKES,4,4,7.947914072424015,0.42578968335118883,0.0,0.0,0.0,0.0,Early signal
2026-01-01,"KIA AMERICA, INC.",KIA,EV9,2024,19,Tire / suspension / frame rust mixed issue,SUSPENSION,3,3,7.840663411606956,0.5807866142593998,0.3333333333333333,0.0,0.0,0.0,Early signal
2026-01-01,"GENERAL MOTORS, LLC",GMC,SIERRA 1500,2019,15,Oil consumption / low oil issue,ENGINE / COOLING,7,7,7.673492495889886,0.472416515679118,0.0,0.0,0.14285714285714285,0.14285714285714285,Moderate signal
2026-01-01,"NISSAN NORTH AMERICA, INC.",NISSAN,ALTIMA,2015,19,Tire / suspension / frame rust mixed issue,SUSPENSION,4,3,7.559821719728905,0.3683765079785932,0.0,0.0,0.0,0.0,Early signal
2026-01-01,FORD MOTOR COMPANY,FORD,EXPLORER,2015,19,Tire / suspension / frame rust mixed issue,BACK OVER PREVENTION,4,3,7.524231789431552,0.36311144440423904,0.0,0.0,0.0,0.0,Early signal
2026-01-01,HYUNDAI MOTOR AMERICA,HYUNDAI,IONIQ 5,2024,12,Cruise / traction / electronic braking control issue,ELECTRICAL SYSTEM,5,5,7.493012462819936,0.2954824700951849,0.0,0.0,0.0,0.0,Moderate signal
2026-01-01,TOYOTA MOTOR CORPORATION,TOYOTA,TUNDRA,2023,1,Electric power steering assist loss,ENGINE / COOLING,3,3,7.432613954336495,0.3012740483101343,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,Early signal
2026-01-01,"CHRYSLER (FCA US, LLC)",DODGE,DART,2013,6,Transmission shifting / gear engagement issue,POWER TRAIN,4,4,7.41701060298449,0.4259994379925526,0.25,0.0,0.0,0.0,Early signal
2026-01-01,FORD MOTOR COMPANY,FORD,RANGER,2019,6,Transmission shifting / gear engagement issue,POWER TRAIN,3,3,7.3906298885745025,0.39649732142926747,0.0,0.0,0.6666666666666666,1.0,Early signal
2026-01-01,FORD MOTOR COMPANY,FORD,F-150,2024,18,Headlight / low beam visibility issue,EXTERIOR LIGHTING,32,18,7.329499854976418,0.7240267949416305,0.0625,0.0,0.0,0.0,Moderate signal
2026-01-01,"GENERAL MOTORS, LLC",CHEVROLET,SILVERADO 1500,2022,2,Check engine light / engine fault complaints,ENGINE / COOLING,3,3,7.319322579714106,0.3499531654604328,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,Early signal
2026-01-01,HYUNDAI MOTOR AMERICA,HYUNDAI,IONIQ 5,2025,12,Cruise / traction / electronic braking control issue,ELECTRICAL SYSTEM,4,4,7.317197817932198,0.2832796880374173,0.0,0.0,0.0,0.0,Early signal
2026-01-01,"KIA AMERICA, INC.",KIA,TELLURIDE,2020,15,Oil consumption / low oil issue,POWER TRAIN,4,4,7.305032779798975,0.38471801604805383,0.0,0.0,0.0,0.0,Early signal
2026-01-01,HONDA (AMERICAN HONDA MOTOR CO.),HONDA,ODYSSEY,2019,6,Transmission shifting / gear engagement issue,POWER TRAIN,4,3,7.298203309933331,0.3296734942809928,0.0,0.0,0.0,0.0,Early signal
2026-01-01,HONDA (AMERICAN HONDA MOTOR CO.),HONDA,CR-V,2019,9,Fuel pump / fuel tank / leak or odor issue,FUEL / PROPULSION,5,5,7.2190654448131735,0.45992106261835974,0.0,0.0,0.0,0.2,Moderate signal
